customer_id,name,email,tenure,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,tech_support,online_security,churn_probability,churn,location_lat,location_lon
CUST-10000,Michael Smith,michael.smith@example.com,30,94.07,2822.1,One year,Electronic check,1,Yes,Yes,0.2463,1,37.65301,-122.4996
CUST-10001,Karen Smith,karen.smith@example.com,47,64.92,3051.24,One year,Bank transfer,0,No,Yes,0.1156,1,37.86665,-122.35996
CUST-10002,Mary Rodriguez,mary.rodriguez@example.com,19,29.67,563.73,Month-to-month,Bank transfer,0,No,Yes,0.6517,0,37.84382,-122.40853
CUST-10003,Jennifer Williams,jennifer.williams@example.com,52,77.74,4042.48,One year,Electronic check,1,No,No,0.1663,0,37.71172,-122.54546
CUST-10004,Joseph Brown,joseph.brown@example.com,8,55.53,444.24,Month-to-month,Bank transfer,0,No,Yes,0.8673,1,37.64632,-122.37891
CUST-10005,Jessica Davis,jessica.davis@example.com,7,75.69,529.83,Month-to-month,Bank transfer,0,No internet service,No,0.8857,1,37.69361,-122.55977
CUST-10006,Mary Gonzalez,mary.gonzalez@example.com,5,51.47,257.35,Month-to-month,Credit card,1,No internet service,No,0.845,0,37.76256,-122.48994
CUST-10007,Joseph Moore,joseph.moore@example.com,48,56.2,2697.6,One year,Mailed check,1,Yes,Yes,0.0441,0,37.63903,-122.53651
CUST-10008,David Wilson,david.wilson@example.com,35,45.14,1579.9,One year,Electronic check,0,Yes,Yes,0.0809,0,37.89034,-122.34414
CUST-10009,Mary Brown,mary.brown@example.com,5,91.97,459.85,Month-to-month,Mailed check,1,Yes,No,0.9246,1,37.81249,-122.3169
CUST-10010,Susan Martin,susan.martin@example.com,7,112.24,785.68,Month-to-month,Electronic check,1,Yes,No internet service,0.907,1,37.65846,-122.46051
CUST-10011,Charles Davis,charles.davis@example.com,16,68.6,1097.6,Month-to-month,Electronic check,0,No internet service,Yes,0.6911,1,37.66263,-122.37147
CUST-10012,Jessica Garcia,jessica.garcia@example.com,16,73.93,1182.88,Month-to-month,Mailed check,0,No,Yes,0.8471,1,37.82641,-122.45737
CUST-10013,Susan Anderson,susan.anderson@example.com,6,43.01,258.06,Month-to-month,Mailed check,1,No,No,0.9055,1,37.64256,-122.54918
CUST-10014,John Hernandez,john.hernandez@example.com,6,33.23,199.38,Month-to-month,Credit card,1,No,Yes,0.827,1,37.74702,-122.5411
CUST-10015,Linda Lopez,linda.lopez@example.com,9,118.42,1065.78,Month-to-month,Electronic check,1,No,No,0.9726,1,37.86508,-122.53662
CUST-10016,Richard Miller,richard.miller@example.com,26,107.45,2793.7,One year,Electronic check,1,Yes,Yes,0.3579,0,37.79,-122.55422
CUST-10017,Jessica Smith,jessica.smith@example.com,59,68.56,4045.04,Two year,Mailed check,0,No,Yes,0.0594,0,37.67429,-122.56875
